id;code;name;town_id;icao;name_eng
1;KUB;Кубинка;MOW;UUXB;Kubinka
2;AAE;Аннаба;AAE;;Annaba
3;AAL;Альборг;AAL;EKYT;Aalborg
4;AAN; Аль-Айн;AUH;OMAL;Al Ain
5;AAQ;Витязево;AAQ;URKA;Vityazevo
6;AAS;Апаласили;AAS;;Apalasili
7;ABA;Абакан;ABA;UNAA;Abakan
8;ABJ;Абиджан;ABJ;;Felix Houphouet Boig
9;ACC;Аккра;ACC;DGAA;Accra
10;ADA;Адана;ADA;;Adana
11;ADB;Измир;IZM;LTBJ;Adnan Menderes
12;ADD;Аддис-Абеба;ADD;HAAB;Addis Ababa
13;ADE;Аден;ADE;OYAA;Aden
14;ADJ;Амман Marka;AMM;OJAM;Marka Intl
15;ADL;Аделаида;ADL;;Adelaide
16;ADW;Кемп Спрингс;ADW;KADW;Camp Springs
17;AER;Адлер;AER;URSS;Adler
18;AES;Алесунд;AES;ENAL;Aalesund
19;AGA;Агадир;AGA;GMAD;Agadir
20;AGP;Малага;AGP;LEMG;Malaga
21;AHO;Alghero;AHO;LIEA;Alghero
22;AJA;Кампо-дель-Оро;AJA;LFKJ;Campo Dell'Oro
23;AKL;Окленд;AKL;;Auckland
24;AKN;Котцебуе;AKN;PAOT;Kotzebue
25;AKX;Актобе;AKX;UATT;Aktobe
26;ALA;Алматы;ALA;UAAA;Almaty
27;ALC;Аликанте;ALC;LEAL;Alicante
28;ALF;Альта;ALF;ENAT;Alta
29;ALG;Алжир;ALG;DAAG;Algiers
30;ALP;Алеппо;ALP;OSAP;Aleppo
31;ALY;Александрия;ALY;;Alexandria
32;AMD;Ахмедабад;AMD;VAAH;Ahmedabad
33;AMM;Амман;AMM;OJAI;Queen Alia Intl
34;AMS;Скипхол;AMS;EHAM;Schiphol
35;ANC;Анкоридж;ANC;PANC;Anchorage
36;ANU;Берд Интл ;ANU;TAPA;V C Bird Intl
37;AOI;Анкона;AOI;LIPY;Ancona
38;AOJ;Аомори;AOJ;;Aomori
39;AOM;Ном;AOM;PAOM;Nome
40;AQJ;Акаба;AQJ;OJAQ;Aqaba
41;ARH;Талаги;ARH;ULAA;Talagi
42;ARN;Арланда;STO;ESSA;Arlanda
43;ASB;Ашгабад;ASB;UTAA;Ashgabad
44;ASF;Астрахань;ASF;URWA;Astrakhan
45;ASU;Асунсьон;ASU;;Asuncion
46;ASW;Ассуан;ASW;HESN;Aswan
47;ATH;Елефтериос Венизелос;ATH;LGAV;Eleftherios Venizelo
48;ATL;Атланта;ATL;KATL;Atlanta. Ga
49;ATQ;Амритсар;LUH;VIAR;Amritsar
50;AUH;Абу-Даби;AUH;OMAA;Abu Dhabi
51;AXD;Димокритос;AXD;LGAL;Dimokritos
52;AXT;Акита;AXT;RJSK;Akita
53;AYT;Анталья;AYT;LTAI;Antalya
54;AZN;Андижан;AZN;UTKA;Andizhan
55;BAH;Бахрейн;BAH;OBBI;Bahrain Intl
56;BAX;Михайловка;BAX;UNBB;Mikhaylovka
57;BCM;Бакау;BCM;LRBC;Bacau
58;BCN;Ел Прат;BCN;LEBL;El Prat
59;BDA;Бермуды;BDA;;Bermuda
60;BDS;Бриндизи;BDS;LIBR;Brindisi
61;BDU;Бардуфос;BDU;ENDU;Bardufoss Ab
62;BEG;Белград;BEG;LYBE;Belgrade
63;BEL;Белем;BEL;SBBE;Belem
64;BEN;Бенгази;BEN;HLLB;Benghazi
65;BER;Бранденбург;BER;EDDB;Berlin Brandenburg
66;BES;Брест;BES;LFRB;Brest
67;BEW;Бейра;BEW;;Beira
68;BEY;Бейрут;BEY;OLBA;Beirut
69;BFI;Боинг Филд;SEA;KBFI;Boeing Field/King Co
70;BFS;Белфаст;BFS;EGAA;Belfast
71;BGB;Борисоглебское;KZN;UWKG;Borisoglebskoe
72;BGF;Банги;BGF;;Bangui
73;BGI;Грентли Адамс Интл;BGI;TBPB;Grantley Adams Intl
74;BGO;Берген;BGO;ENBR;Bergen
75;BGR;Бангор;BGR;KBGR;Bangor Intl
76;BGW;Багдад;BGW;ORBS;Baghdad
77;BGY;Орио;BGY;LIME;Orio al Serio
78;BHJ;Бхудж;BHJ;VABJ;Rudra Mata
79;BHK;Бухара;BHK;UTSB;Bukhara
80;BHX;Бирмингем;BHX;EGBB;Birmingham
81;BIO;Бильбао;BIO;LEBB;Bilbao
82;BJM;Бужумбура;BJM;HBBA;Bujumbura
83;BJV;Милас;BJV;;Milas
84;BKA;Быково;MOW;UUBB;Bykovo
85;BKI;Кота-Кинабалу;BKI;;
86;BKK;Бангкок;BKK;VTBS;Bangkok(Intl)
87;BKO;Бамако;BKO;GABS;Bamako
88;BLL;Биллунд;BLL;EKBI;Billund
89;BLQ;Болонья;BLQ;LIPE;Bologna
90;BLR;Бангалор;BLG;VOBG;Bangalore
91;BNE;Брисбан;BNE;;Brisbane
92;BNX;Банья Лука;BNX;LQBK;Banja Luka
93;BOD;Бордо;BOD;LFBD;Bordeaux
94;BOG;Богота;BOG;SKBO;Bogota
95;BOH;Борнмут;BOH;EGHH;Bournemouth
96;BOJ;Бургас;BOJ;LBBG;Burgas
97;BOK;Юбилейный;BOK;UAUN;
98;BOM;Чхатрапати Шиваджи;BOM;VABB;Chhatrapati Shivaji
99;BOO;Бодо;BOO;ENBO;Bodo Ab
100;BOS;Бостон;BOS;KBOS;Boston
101;BQS;Игнатьево;BQS;UHBB;Ignatyevo
102;BQT;Брест;BQT;UMBB;Brest
103;BRE;Бремен;BRE;EDDW;Bremen
104;BRI;Бари;BRI;LIBD;Bari
105;BRN;Берн;BRN;;
106;BRQ;Брно;BRQ;LKTB;Brno/Turany
107;BRU;Брюссель(Националь);BRU;EBBR;Brussels National
108;BSB;Бразилиа;BSB;SBBR;Brasilia
109;BSK;Бийск;BSK;UNBI;Biysk
110;BSL;Базель/Малхауз;BSL;LFSB;Basel/Mulhouse
111;BSR;Басра;BSR;ORMM;Basrah
112;BTK;Братск;BTK;UIBB;Bratsk
113;BTS;Братислава;BTS;LZIB;Bratislava
114;BUD;Ферихедь;BUD;LHBP;Ferihegy
115;BUG;Северный;BUG;UWWB;Severny
116;BUS;Батуми;BUS;UGSB;Batumi
117;BVA;Бове;PAR;LFOB;Beauvais
118;BWI;Балтимор-Вашингтон ;BWI;KBWI;Baltimore-Washington
